,Packets Loss,Throughput ,Delay,output
1,50.0,0.031,160.29,0.4
2,100.0,0.61,139.83,0.6
3,100.0,0.636,128.35,0.6
6,100.0,0.447,155.2,0.6
7,100.0,0.407,155.2,0.6
8,100.0,0.233,155.62,0.5
9,100.0,0.414,155.62,0.6
10,100.0,0.447,155.22,0.6
11,100.0,0.233,155.22,0.5
12,100.0,0.407,155.15,0.6
13,100.0,0.447,155.15,0.6
14,100.0,0.222,155.3,0.5
15,100.0,0.213,155.3,0.5
16,100.0,0.231,155.75,0.5
17,100.0,0.658,155.75,0.7
18,100.0,0.266,155.65,0.5
19,100.0,0.213,155.65,0.5
20,100.0,0.213,155.15,0.5
21,100.0,0.224,155.15,0.5
22,100.0,0.355,155.22,0.5
23,100.0,0.233,155.22,0.5
24,100.0,0.298,155.32,0.5
25,100.0,0.233,155.32,0.5
26,100.0,0.222,155.32,0.5
27,100.0,0.486,155.32,0.6
28,100.0,0.28,155.32,0.5
29,100.0,0.27,155.32,0.5
30,100.0,0.231,155.32,0.5
31,100.0,0.447,155.32,0.6
32,100.0,0.215,155.32,0.5
33,100.0,0.231,155.32,0.5
34,100.0,0.294,155.32,0.5
35,100.0,0.447,155.32,0.6
36,100.0,0.447,155.32,0.6
37,100.0,0.09,155.32,0.4
38,100.0,0.254,155.32,0.5
39,100.0,0.266,155.32,0.5
41,100.0,0.233,155.32,0.5
42,100.0,0.407,155.32,0.6
43,100.0,0.439,155.32,0.6
44,100.0,0.447,155.32,0.6
45,100.0,0.355,155.32,0.5
46,100.0,0.254,155.32,0.5
47,100.0,0.605,155.32,0.6
48,100.0,0.439,155.32,0.6
49,100.0,0.243,155.32,0.5
50,100.0,0.439,155.32,0.6
51,100.0,0.27,155.32,0.5
52,100.0,0.447,155.32,0.6
54,100.0,0.222,155.32,0.5
55,100.0,0.203,155.32,0.5
56,100.0,0.144,155.32,0.4
57,100.0,0.213,155.32,0.5
58,100.0,0.213,155.32,0.5
59,100.0,0.213,155.32,0.5
60,100.0,0.224,155.32,0.5
61,100.0,0.213,155.32,0.5
62,100.0,0.222,155.32,0.5
63,100.0,0.447,155.32,0.6
64,100.0,0.386,155.32,0.5
65,100.0,0.294,155.32,0.5
66,100.0,0.28,155.32,0.5
67,100.0,0.439,155.32,0.6
68,100.0,0.447,155.32,0.6
69,100.0,0.222,155.32,0.5
70,100.0,0.233,155.32,0.5
71,100.0,0.198,155.32,0.5
72,100.0,0.231,155.32,0.5
73,100.0,0.414,155.32,0.6
74,100.0,0.355,155.32,0.5
75,100.0,0.222,155.32,0.5
76,100.0,0.231,155.32,0.5
77,100.0,0.213,155.32,0.5
78,100.0,0.224,155.32,0.5
79,100.0,0.658,155.32,0.7
80,100.0,0.447,155.32,0.6
81,100.0,0.476,155.32,0.6
82,100.0,0.439,155.32,0.6
83,100.0,0.407,155.32,0.6
84,100.0,0.447,155.32,0.6
85,100.0,0.447,155.32,0.6
86,100.0,0.486,155.32,0.6
87,100.0,0.205,155.32,0.5
88,100.0,0.224,155.32,0.5
89,100.0,0.355,155.32,0.5
90,100.0,0.222,155.32,0.5
91,100.0,0.222,155.32,0.5
92,100.0,0.233,155.32,0.5
93,100.0,0.213,155.32,0.5
94,100.0,0.447,155.32,0.6
95,100.0,0.414,155.32,0.6
96,100.0,0.379,155.32,0.5
97,100.0,0.222,155.32,0.5
98,100.0,0.447,155.32,0.6
99,100.0,0.224,155.32,0.5
100,100.0,0.407,155.32,0.6
101,100.0,0.196,155.32,0.5
102,100.0,0.213,155.32,0.5
103,100.0,0.224,155.32,0.5
104,100.0,0.254,155.32,0.5
105,100.0,0.254,155.32,0.5
106,100.0,0.233,155.32,0.5
107,100.0,0.254,155.32,0.5
108,100.0,0.266,155.32,0.5
109,100.0,0.231,155.32,0.5
110,100.0,0.414,155.32,0.6
